,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Berseba,31788.577271664584,12329.0,R,0.02069016112437744,-0.02329195849597454,5.768369197845459,3425.0699626905657
1,Karas,38295.29457607992,17621.0,R,0.036539590850042825,-0.010500278323888779,19.921192169189453,7383.153187568803
2,Keetmanshoop Rural,38039.212495008716,8599.0,R,0.028433233215623053,-0.025694461539387703,8.359758377075195,5624.377862382396
3,Keetmanshoop Urban,524.8348824275537,22338.0,U,0.3400052115089085,-0.005310752894729376,22.17154884338379,928.894237842338
4,Luderitz,48504.210796935884,14752.0,U,0.0446995819024434,-0.022519590333104134,31.24469566345215,11330.450020631353
5,Oranjemund,4248.631646737274,11878.0,U,0.11897176081658066,-0.012561452575027943,72.548828125,2672.8195785053013
6,Arandis,13512.661295426351,12409.0,U,0.08464507918695992,-0.01223142072558403,32.53826141357422,5779.566006885623
7,Daures,17757.753687334054,12742.0,R,0.02455699272030649,-0.04504300653934479,5.714248180389404,2188.322735291952
8,Karibib,14528.773790946772,15681.0,U,0.03466636300836282,-0.033959195017814636,46.23365020751953,2544.4417120878147
9,Omaruru,8421.33326349505,9774.0,U,0.016151304391183494,-0.04598915949463844,25.881511688232422,682.4410644406762
10,Swakopmund,196.5951713633185,60377.0,U,1.7973393167532867,0.07052862644195557,24.36417579650879,1788.3526201695204
11,Walvisbay Rural,9131.703487778299,11847.0,U,0.07595988792884828,-0.012992125004529953,31.022180557250977,3527.349315751928
12,Walvisbay Urban,20.887305661093887,67166.0,U,23.698067247310533,1.7833083868026733,54.3668098449707,2535.693195462227
13,Gibeon,50445.7757946228,13505.0,R,0.02665505530973399,-0.03975163400173187,5.274258136749268,6911.202705873758
14,Mariental Rural,41919.686370277486,18734.0,R,0.027296969659340573,-0.03184187412261963,28.70737075805664,5850.177349511234
15,Mariental Urban,5921.539093984428,16903.0,U,0.03125322002147882,-0.02828735113143921,14.366876602172852,948.5977340919251
16,Rehoboth East,282.8124265601544,22730.0,U,0.29847200565496507,-0.012260706163942814,18.660608291625977,431.29204817142454
17,Rehoboth Rural,10935.402823244887,7862.0,R,0.019905637079189655,-0.037506476044654846,6.690989971160889,1110.5354926479908
18,Rehoboth West,326.1235097330488,13025.0,U,0.18797983385624042,-0.011796753853559494,11.604649543762207,312.4224838690716
19,Kahenge,8808.193608055797,32724.0,R,0.02407425099695465,-0.05369405075907707,2.7751591205596924,1040.3206083314012
20,Kapako,6181.782301272926,29588.0,R,0.037238827719459966,-0.06169164553284645,5.72592830657959,1130.19842128561
21,Mashare,9350.738723900962,18459.0,R,0.04188261880104838,-0.06709010154008865,46.6527099609375,1923.710564150953
22,Mpungu,8142.0763182428955,21695.0,R,0.0200955498254241,-0.04871512949466705,8.599284172058105,804.6459105598065
23,Mukwe,5585.860634768377,30404.0,R,0.030912091600206647,-0.09195765107870102,21.88151741027832,839.0778143960092
24,Ndiyona,8204.240896014719,24161.0,R,0.026354643522413054,-0.07457707822322845,6.579036235809326,1057.87539098966
25,Rundu Rural East,582.7709068844255,27581.0,U,0.04889956942612058,-0.06549660861492157,8.165937423706055,137.16329224026822
26,Rundu Rural West,2097.034203889035,43227.0,U,0.03613949774719581,-0.06478512287139893,12.482579231262207,369.5625039628244
27,Rundu Urban,15.539202497748867,25706.0,U,5.5840986025604336,0.12180828303098679,19.808446884155273,429.9755923971534
28,Katutura Central,2.026389437383075,28004.0,U,30.599266899956596,22.240135192871094,36.21232223510742,275.3934020996094
29,Katutura East,2.501110855946285,22073.0,U,26.126474380493164,20.586933135986328,35.11012649536133,339.64416694641113
30,Khomasdal North,25.957030108186395,49862.0,U,11.319706026577588,0.34719350934028625,32.428977966308594,1494.2011955082417
31,Moses Garoeb,33.654550268440225,58206.0,U,3.0271846744400714,0.16677285730838776,28.24073028564453,517.6485793292522
32,Soweto,1.882700526272974,18699.0,U,28.746257635263298,23.065290451049805,37.202552795410156,373.70134925842285
33,Tobias Hainyeko,19.803973390606487,60792.0,U,8.473606422694042,0.5485777854919434,32.92814636230469,838.8870358467102
34,Wanaheda,19.224197060877238,67892.0,U,9.285167799351063,0.35539960861206055,37.85224151611328,872.8057731389999
35,Windhoek East,167.1631069525552,25746.0,U,4.3987204667541855,0.08445455878973007,89.30901336669922,3721.317514874041
36,Windhoek Rural,36613.81363515999,28435.0,U,0.03359183955710355,-0.05002934858202934,51.16608810424805,6232.865054301892
37,Windhoek West,208.61114459038964,64145.0,U,4.203077900389237,0.028036650270223618,65.59477233886719,4438.450262811035
38,Epupa,23481.577665250563,25726.0,R,0.010678126660337675,-0.048643987625837326,1.4795893430709839,1229.8852724843728
