,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Bulawayo,471.7132406301294,748381.0,U,2.0098559792795534,0.1573663353919983,24.613643646240234,4580.461776778102
1,Harare,912.3004601942704,2540834.0,U,4.782890532946343,0.3338806927204132,35.278839111328125,21068.63279762864
2,Buhera,5408.277295887256,299313.0,R,0.16898913204672206,0.10501109808683395,6.874275207519531,4469.255575239658
3,Chimanimani,3349.480443274447,159515.0,R,0.1948909455645622,0.1135357916355133,5.862157821655273,3210.438546285033
4,Chipinge,5254.58855828249,386233.0,R,0.19741520204581822,0.11613842844963074,21.784915924072266,5117.3968674317
5,Makoni,7967.687705700981,360107.0,R,0.1796476125090017,0.08707286417484283,11.498944282531738,6961.883927561343
6,Mutare,5697.805556180159,537331.0,U,0.24669194256272908,0.1114872395992279,13.461966514587402,6876.044515050948
7,Mutasa,2581.391954849916,200668.0,R,0.21494668802790534,0.10408522188663483,5.005173683166504,2710.9076294079423
8,Nyanga,5739.802145325792,150300.0,R,0.18379615769355692,0.09982189536094666,21.102235794067383,5134.161869011819
9,Bindura,2327.0722411061693,203452.0,U,0.23782952090917428,0.10922980308532715,17.316261291503906,2667.733736038208
10,Centenary,4338.464297455136,148417.0,R,0.1814638786553328,0.06978612393140793,3.390620708465576,3774.9930676668882
11,Guruve,7904.273709236049,246326.0,R,0.1759418257669794,0.07906177639961243,4.676069259643555,6654.471734158695
12,Mazowe,4541.175437755411,293623.0,R,0.2351673228290928,0.05996526777744293,9.808197021484375,5136.054330587387
13,Mount Darwin,4565.491572452573,253487.0,R,0.17554187969210197,0.08830098062753677,3.6555733680725098,3850.686672925949
14,Rushinga,2347.2473567270986,91391.0,R,0.1783200895390537,0.09542743116617203,3.7171754837036133,2016.9785327762365
15,Shamva,2784.450019232413,148118.0,R,0.1821891794287242,0.08487952500581741,3.624239921569824,2446.0719230100513
16,Chikomba,6719.273246647803,147496.0,R,0.18091220165956085,0.09087267518043518,33.80160140991211,5904.793349966407
17,Goromonzi,2533.142223030055,351407.0,R,0.3587680819103482,0.07826317846775055,20.43964385986328,4391.321322582662
18,Marondera,3595.8408311351354,217473.0,U,0.24337654855860355,0.09492327272891998,9.292496681213379,4241.079735182226
19,Mudzi,4170.833773775192,170381.0,R,0.16831959405964342,0.08832816034555435,2.459890127182007,3397.0260473117232
20,Murehwa,3529.1524508042985,242798.0,R,0.17407655611678716,0.08822616934776306,4.777499198913574,2975.4905737042427
21,Mutoko,4082.862436100655,181153.0,R,0.16330447757321365,0.08120977133512497,9.825613021850586,3225.426736548543
22,Seke,2606.556977511978,108270.0,R,0.23937025454054733,0.10230018198490143,6.973023414611816,3020.8526123017073
23,UMP,2700.8888949172097,135728.0,R,0.1609810745383993,0.08095455169677734,3.10477876663208,2099.0322309061885
24,Wedza,2613.6119417893597,84780.0,R,0.17336560400976936,0.07730935513973236,4.425500392913818,2206.4240422323346
25,Chegutu,5467.941834371637,331545.0,U,0.23773457004561815,0.08163966983556747,11.96835708618164,6263.592716991901
26,Hurungwe,20243.29303431682,437819.0,R,0.19777597282517032,0.03948139399290085,50.00673294067383,19037.71736817807
27,Kadoma,9500.540401228933,379628.0,R,0.22747919722826557,0.08234017342329025,54.26476287841797,10403.533606037498
28,Kariba,8380.178365488646,83839.0,R,0.22486801319995767,0.06818073987960815,14.245534896850586,8938.503524698317
29,Makonde,8970.723990073671,286695.0,R,0.1972313600607759,0.09279924631118774,12.5104398727417,8468.325675569475
30,Zvimba,6202.607575647005,323157.0,R,0.2884900264803777,0.06897764652967453,19.369709014892578,8602.195609591901
31,Bikita,5243.563946807965,193953.0,R,0.16546369797937174,0.11023695766925812,2.849174737930298,4262.675787344575
32,Chiredzi,17813.87254913764,355555.0,R,0.18299778061823535,0.10969393700361252,23.036834716796875,16126.313421420753
33,Chivi,3625.555477415636,192796.0,R,0.1865766789497174,0.1162923127412796,12.962291717529297,3311.3628979995847
34,Gutu,7219.216311856304,236940.0,R,0.1712160302139692,0.09829903393983841,32.41234588623047,6036.392361223698
35,Masvingo,7018.422340257339,359825.0,U,0.19744162571935944,0.11178719252347946,18.203834533691406,6785.476351097226
36,Mwenezi,13084.6229421797,197422.0,R,0.1681978263156602,0.1146286278963089,2.777198076248169,10848.087006054819
37,Zaka,3150.0872757567236,216562.0,R,0.16800028587434296,0.10780985653400421,2.030003547668457,2601.3164264783263
38,Binga,13715.807376017607,163266.0,R,0.16046525052633917,0.06715031713247299,8.504537582397461,10429.438957959414
39,Bubi,5690.308104361502,72524.0,R,0.16078260905106526,0.06741954386234283,3.0104281902313232,4407.533661916852
40,Hwange,31080.42179630988,162824.0,U,0.1832086092976404,0.06509219855070114,63.29249572753906,26925.070056818426
41,Lupane,8008.922056603831,117797.0,R,0.15363157838354238,0.019163185730576515,8.438130378723145,5879.480504738167
42,Nkayi,5464.978970762385,128103.0,R,0.14912968755673467,0.06479954719543457,3.4617512226104736,3913.6103905513883
43,Tsholotsho,8069.656112121403,135252.0,R,0.1499113173169475,0.0790005698800087,2.0737411975860596,5791.224099270999
44,Umguza,6282.838853694469,102807.0,R,0.18588109932406957,0.10660648345947266,11.408658981323242,5627.178519837558
45,Beitbridge,13214.856901861773,142556.0,U,0.19113224402167883,0.11771699786186218,29.233917236328125,12459.146458797157
46,Bulilima (North),6842.108817531178,105243.0,R,0.1612282629907929,0.09902869164943695,8.991991996765137,5300.540374085307
47,Gwanda,11010.677019239416,159522.0,R,0.18571818080817817,0.11952223628759384,23.482933044433594,9996.652518361807
