,NAME_2,Area,Population,r_u,mean,min,max,sum
0,805,174.2042120947217,16354.0,R,0.047294309038980076,0.006075817160308361,0.6018483638763428,38.49756755772978
1,Baringo Central,662.8196647025657,103681.0,U,0.06477392412732047,-0.02375289984047413,2.7654006481170654,200.73439087056613
2,Baringo North,1636.7566113893106,109783.0,R,0.028898054986940744,-0.035353466868400574,3.816462755203247,220.7233439902534
3,Baringo South,1888.5697874188936,99984.0,R,0.046765533123989,-0.03351486474275589,13.778761863708496,412.51876768670695
4,Eldama Ravine,907.9282516352453,112435.0,U,0.05921681244465991,-0.0042121228761971,3.1745688915252686,250.54633345335606
5,Mogotio,1159.4896594824108,50680.0,R,0.03417690960070228,-0.008883165195584297,0.39411115646362305,185.03378857820212
6,Tiaty,4435.169033924433,157980.0,R,0.016551460254037885,-0.0450546033680439,2.8488261699676514,342.84694770214077
7,Bomet Central,244.067715634345,140556.0,R,0.06893130901850052,0.014367994852364063,1.0587600469589233,78.30596704501659
8,Bomet East,319.16050692717386,158442.0,R,0.07397654976007924,-0.0012959304731339216,5.857872009277344,110.07710604299791
9,Chepalungu,545.9478920747007,204464.0,R,0.050266829701467584,-0.0030740753281861544,2.6632864475250244,127.929081590235
10,Konoin,790.7253240801755,171823.0,R,0.09121557690928532,0.002348339417949319,2.436856269836426,336.9503411029
11,Sotik,486.69424285038764,220907.0,R,0.0876617480541733,0.0019060400081798434,2.354764461517334,198.81684458686505
12,Bumula,347.44502821892445,210124.0,R,0.048354384133880116,-0.05797711759805679,1.0691394805908203,78.14068476035027
13,Kabuchai,235.02430818966687,172547.0,R,0.0698497612716739,-0.004941623657941818,0.8170854449272156,76.41563883121125
14,Kanduyi,320.7517037893359,281842.0,R,0.2637988365052155,-0.011599496938288212,7.185992240905762,393.06026639277115
15,Kimilili,178.35044495596,159110.0,U,0.09197324966303931,-0.006443514954298735,1.5204647779464722,76.42977046998567
16,Likuyani,302.62826205012686,130421.0,R,0.08615037379024079,0.019119666889309883,0.8307590484619141,121.04127517528832
17,Lugari,267.321763887601,100265.0,R,0.09826522222746226,0.015438574366271496,7.053229331970215,122.53673211764544
18,Mt. Elgon,951.362914831497,179573.0,R,0.026427323760454004,-0.0949348509311676,4.368936538696289,117.02018961129033
19,Sirisia,208.93422090635923,100852.0,R,0.05753786441587448,-0.022267762571573257,0.46703270077705383,55.86926634781412
20,Tongaren,376.99944125211056,217365.0,R,0.07044050035143631,-0.008734813891351223,0.40942490100860596,123.9752806185279
21,Webute West,235.13188973786723,104542.0,U,0.09320707822283542,-0.011077464558184147,1.7884116172790527,101.96854357578195
22,Webuye East,166.68336071451773,147402.0,R,0.20333003845938422,0.009919858537614346,3.450608253479004,157.98743988294154
23,Budalangi,311.9171193924091,74284.0,R,0.028926462948416914,-0.09607312828302383,1.9468916654586792,41.94337127520453
24,Butula,245.21444041580307,124273.0,R,0.03590957186182097,-0.05057597532868385,0.7304618954658508,41.11645978178501
25,Funyula,271.44175763426216,102559.0,R,0.0340038084147184,-0.06675878912210464,0.8236490488052368,42.878802410959906
26,Matayos,196.18674896448124,148094.0,U,0.18023002049591783,-0.04070662334561348,4.536458969116211,164.55000871277298
27,Nambale,234.95705856078283,109731.0,R,0.04891440247239559,-0.10299118608236313,1.7542420625686646,53.16995548749401
