,NAME_3,Area,Population,r_u,mean,min,max,sum
0,Dia,132.54895250883703,13151.0,R,0.26381255831546,0.18657873570919037,0.34388843178749084,167.78478708863258
1,Jawie,364.1260902325877,54272.0,R,0.24999651116348343,0.16155241429805756,0.3745945394039154,428.4940201342106
2,Kissi Kama,93.12155886696705,17043.0,R,0.2529425240037116,0.1840958595275879,0.3157605230808258,111.29471056163311
3,Kissi Teng,283.52307766396336,40539.0,R,0.2901691133406625,0.1747727245092392,5.384547710418701,388.82661187648773
4,Kissi Tongi,221.78195124207906,43856.0,R,0.22308357162134987,0.1726532280445099,0.29054903984069824,234.23775020241737
5,Luawa,712.5194507369068,88010.0,R,0.25302710839394577,0.1526765376329422,4.735198974609375,852.1953010708094
6,Malema,791.8958974136127,31073.0,R,0.2456100882820759,0.1609615683555603,0.3187248706817627,914.4063586741686
7,Mandu,173.03413105381915,26279.0,R,0.25728339853831533,0.17458032071590424,0.9169849753379822,209.42868641018867
8,Njaluahun,356.060667910322,52343.0,R,0.24159619139763416,0.1259596347808838,0.4256255328655243,407.81437107920647
9,Pehe Bongre,165.38357565952725,16890.0,R,0.23613841503320895,0.14410939812660217,0.33876052498817444,183.24341006577015
10,Peje West,150.42944678392982,17308.0,R,0.24051790524505626,0.15094131231307983,0.5131950974464417,170.28667691349983
11,Penguia,157.63609626256587,16663.0,R,0.22980640149116516,0.16543778777122498,0.4020157754421234,172.35480111837387
12,Upper Bambara,218.79147818792262,37491.0,R,0.26750239357712885,0.18048226833343506,2.355897903442383,276.3299725651741
13,Yawei,330.3583802556178,21508.0,R,0.24125068829214794,0.15539711713790894,0.4712282121181488,378.0398285537958
14,Dama,473.8676592168902,33944.0,R,0.2648327634238557,0.16941852867603302,0.3882860839366913,591.9012262523174
15,Dodo,406.46676926646484,18312.0,R,0.25360747573584536,0.16307000815868378,1.437641978263855,486.4191384613514
16,Gaura,383.3394541491968,23379.0,R,0.26410961730704124,0.17236380279064178,0.40444275736808777,478.03840732574463
17,Gorama Mende,618.4782143075032,42315.0,R,0.24604261888067608,0.1628696620464325,0.7574284672737122,719.9207028448582
18,Kando Leppeama,269.42154885725836,28188.0,R,0.24113620415306541,0.17426466941833496,0.33716797828674316,307.2075240910053
19,Koya,322.6129436809983,13569.0,R,0.25777053655683013,0.17976535856723785,0.33989429473876953,392.06898610293865
20,Langrama,196.61677482300001,5683.0,R,0.24551734200314335,0.17887520790100098,0.3150480389595032,225.87595464289188
21,Lower Bambara,680.6102711890829,102244.0,U,0.26232479017217497,0.18249860405921936,1.326536774635315,846.5220978856087
22,Malegohun,141.37040162739575,15981.0,R,0.23014255289635258,0.1664338856935501,0.2974212169647217,153.73522533476353
23,Niawa,193.45457799130972,11110.0,R,0.2343271766001373,0.1656370908021927,0.3104764521121979,213.0034035295248
24,Nomo,289.42713861828975,5355.0,R,0.25289099436171736,0.17254158854484558,0.3302498459815979,346.46066227555275
25,Nongowa,504.9807922439566,234734.0,U,0.2950251799374881,0.1717028021812439,2.670654296875,704.2251045107841
26,Simbaru,189.74441403939775,24108.0,R,0.221823785316984,0.17561574280261993,0.3655824363231659,198.97593542933464
27,Small Bo,370.85715984333393,40682.0,R,0.2424203150628502,0.16477331519126892,0.33384692668914795,425.20523262023926
28,Tunkia,794.351919689004,26761.0,R,0.25468296312891325,0.17186607420444489,0.36494362354278564,954.297062844038
29,Wandor,385.4528461551549,22650.0,R,0.2411274983578331,0.16506604850292206,3.230750560760498,438.8520470112562
30,Fiama,268.801369398822,8537.0,R,0.30506785182317475,0.1617288887500763,5.769466876983643,388.04630751907825
31,Gbane,374.0693959977647,14124.0,R,0.24874548819063744,0.1733534038066864,0.34866929054260254,439.2845321446657
32,Gbane Kandor,103.91437042552097,3984.0,R,0.5464265614931212,0.1929132491350174,9.706732749938965,266.65616200864315
33,Gbense,260.5574163914753,99269.0,U,0.3777656760294455,0.14813248813152313,7.1000494956970215,463.5184844881296
34,Gorama Kono,295.5048897506382,11341.0,R,0.2502286320783556,0.17354321479797363,1.1585261821746826,348.5684844851494
35,Kamara,106.04645885097277,11941.0,R,0.25649368057905086,0.1998763531446457,0.3657956123352051,129.0163213312626
36,Lei,644.4061301235463,15697.0,R,0.347391641881384,0.1535557210445404,16.202322006225586,1061.281465947628
37,Mafindor,72.09140499203095,6416.0,R,0.2432566423284069,0.1534370481967926,0.7293693423271179,83.43702831864357
38,Nimikoro,552.624065575916,42395.0,R,0.2811111378580777,0.1842927187681198,3.007958173751831,734.5434032231569
39,Nimiyama,417.093889469014,24836.0,R,0.25122032976180847,0.17828036844730377,1.372381329536438,493.6479479819536
40,Sandor,1481.3706025559886,47844.0,R,0.25669720613973435,0.15535661578178406,4.0100626945495605,1802.014387100935
41,Soa,481.2978266680244,20222.0,R,0.30693626064611107,0.1556294709444046,8.041179656982422,699.8146742731333
42,Tankoro,190.98235264731923,11158.0,U,0.3923967840468011,0.17841249704360962,8.986361503601074,353.9418992102146
43,Toli,129.72474735075144,2540.0,R,0.326445578315359,0.20737116038799286,2.9806251525878906,200.43758508563042
44,Biriwa,914.9640104850201,33898.0,R,0.5019932919548182,0.16610227525234222,62.40371322631836,2176.140920624137
45,Bombali Sebora,433.8727973649006,74517.0,R,0.37808528047994966,0.1776391714811325,29.723976135253906,774.6967397034168
46,Gbanti Kamaranka,379.4833577792429,30806.0,R,0.312315589882259,0.19931292533874512,13.753082275390625,560.2941682487726
47,Gbendembu Ngowahun,674.202190010246,35799.0,R,0.3035669351360498,0.15445737540721893,4.7696757316589355,968.0749561488628
48,Libeisaygahun,455.5084682544711,16142.0,R,0.2839404727593203,0.1810133159160614,5.271197319030762,612.1756592690945
49,Magbemba Gowahun,386.83678478472376,10672.0,R,0.3941842928683413,0.1912694126367569,14.684588432312012,721.7514402419329
50,Makari Gbanti,562.0558816780798,102276.0,U,0.31495345256102114,0.17584966123104095,9.018691062927246,835.5715096443892
51,Paki Masabong,209.76258572508982,21989.0,R,0.2557755254276843,0.1675325334072113,0.5364204049110413,252.96199464797974
52,Safroko Limba,316.8799159426441,25506.0,R,0.31254691588654915,0.17286613583564758,3.0705204010009766,466.3199985027313
53,Sanda Loko,576.1909566112114,32968.0,R,0.32815163065321695,0.19436047971248627,9.97850227355957,892.9005870074034
54,Sanda Tendaren,398.9148290084565,22589.0,R,0.29116259463166966,0.17210328578948975,5.031461238861084,549.4238160699606
55,Sella Limba,472.1949619084067,63268.0,R,0.28176157959256,0.19222648441791534,3.9135615825653076,629.1736072301865
56,Tambakha,2452.7642538002056,21327.0,R,0.39018287218531267,0.18896794319152832,22.899097442626953,4533.144609048963
57,Bramaia,645.5648458084946,33049.0,R,0.2517642998386804,0.18917836248874664,1.6805247068405151,768.3846431076527
58,Gbinleh-Dixon,179.45884995971244,25357.0,R,0.25761359235120074,0.1757032424211502,0.9602479338645935,218.19871272146702
