,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Chibombo,13488.670155113057,731779.0,R,0.15474154744013033,-0.003952559549361467,47.64441680908203,9748.87223027565
1,Kabwe,1600.41117393509,235165.0,U,0.48814845363251613,0.010862777940928936,35.44399642944336,3667.459332141094
2,Kapiri Mposhi,17981.19193542016,300856.0,R,0.0670523454336789,-0.01694210059940815,16.5345516204834,5623.546106831782
3,Mkushi,18067.135480394503,195818.0,R,0.07224608330516259,-0.00564382690936327,11.777003288269043,6134.848409941187
4,Mumbwa,22432.02506118574,268318.0,R,0.08402696791338592,-0.006588109768927097,44.72966766357422,8727.797130195482
5,Serenje,23977.426944191917,195400.0,R,0.07795305810781449,-0.003031884552910924,14.643213272094727,8787.804146610142
6,Chililabombwe,876.8996888398892,101312.0,R,0.5256279081689732,0.023211654275655746,39.331268310546875,2124.0623769108206
7,Chingola,1720.1343918679577,267315.0,U,0.5064874491823806,0.00189964659512043,58.42729949951172,4022.0168339572847
8,Kalulushi,1415.9105460674366,77131.0,R,0.3730023453606425,0.04095648229122162,50.95490646362305,2440.9273480400443
9,Kitwe,1114.0320685458307,699542.0,U,1.7648018138701624,0.07590553909540176,88.93313598632812,9148.732603102922
10,Luanshya,703.4237461010822,154877.0,U,0.5874754354421496,0.08641526848077774,16.11673355102539,1921.6321493312716
11,Lufwanyama,10615.301490529737,70362.0,R,0.08145542052165866,0.002029201714321971,10.463079452514648,3992.3745260280557
12,Masaiti,3033.0009568247397,104868.0,R,0.12464035405882337,0.015934407711029053,15.27232837677002,1764.2842117026448
13,MPongwe,11027.073005492108,149143.0,R,0.08226702139374382,0.00848002266138792,16.831905364990234,4210.590688974597
14,Mufulira,1096.6720039848253,176538.0,U,0.46644725146806415,0.04781632870435715,32.688560485839844,2370.484931960702
15,Ndola,939.5823110752452,556611.0,U,1.6786230824676243,0.10400918126106262,94.43472290039062,7332.225624218583
16,Chadiza,2621.878502847129,115088.0,R,0.07121999217926316,0.011179113760590553,7.546788692474365,889.8225822877139
17,Chipata,5724.631219302998,522847.0,R,0.14623900531973955,0.005762654822319746,25.99822235107422,3981.5031588352285
18,Katete,3860.6549232400394,390160.0,R,0.10257308745364102,0.018392223864793777,15.390390396118164,1884.5753357857466
19,Lundazi,14019.74151875441,404667.0,R,0.07204846274653054,-0.010800149291753769,21.839601516723633,4790.214094165829
20,Mambwe,6209.147580702342,93711.0,R,0.0935541318652756,0.01455451175570488,8.066272735595703,2753.578763190657
21,Nyimba,7633.633653303018,307114.0,R,0.08671134517693646,0.00602621678262949,14.403308868408203,3137.476602537092
22,Petauke,11191.556292951838,93633.0,R,0.0980312980288622,0.004849654622375965,105.54304504394531,5196.737139808014
