,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Addis Abeba,539.2042140257659,3522013.0,U,5.536688859898562,0.15950971841812134,46.823978424072266,14129.62997046113
1,Afar Zone 1,34200.57417870107,474892.0,R,-0.01406000393949069,-0.10183802247047424,6.620718955993652,-2296.898483570957
2,Afar Zone 2,27669.715724069603,446374.0,R,-0.014661250132697784,-0.1854100078344345,38.16642379760742,-1950.7379751559708
3,Afar Zone 3,16570.511269069917,260293.0,R,0.0011686911597801179,-0.08978965878486633,9.779928207397461,92.00521155368978
4,Afar Zone 4,10736.391928260933,322652.0,R,-0.014219002380858043,-0.12662650644779205,0.6026310920715332,-731.2121974356248
5,Afar Zone 5,5400.122826781106,235930.0,R,-0.008974628974759601,-0.09810938686132431,0.5345274209976196,-230.638990022347
6,Agew Awi,8958.44874922012,1259449.0,R,0.040728740787393226,-0.08559206873178482,45.033756256103516,1737.3658957678329
7,Argoba,309.39500291251983,44086.0,R,8.065555907684305e-05,-0.05036601424217224,0.07153212279081345,0.11912826075649718
8,Bahir Dar Special Zone,8.66121758406646,294110.0,U,10.23052889676321,1.765912652015686,20.810850143432617,429.68221366405487
9,Debub Gondar,14142.260935042323,2577685.0,R,-0.006335901933611357,-0.15694330632686615,4.25388240814209,-428.2752912024597
10,Debub Wollo,17212.301494684994,3227272.0,R,-0.0021128163369970683,-0.13019484281539917,16.867717742919922,-173.3882726956644
11,Mirab Gojjam,16418.702397102516,2612501.0,R,0.029696504493916455,-0.16916604340076447,31.824674606323242,2325.5035704141037
12,Misraq Gojjam,14247.857863488745,2896193.0,R,0.006697724013808008,-0.13540025055408478,23.35110855102539,454.2463403404729
13,North Shewa,16172.34295368761,2363779.0,R,0.004505295088708348,-0.12901687622070312,11.75406551361084,346.2364328623253
14,Oromia,3779.3918714226957,588789.0,R,0.008568566298245173,-0.08482076227664948,5.524703025817871,154.1913505369219
15,Semen Gondar,42929.25213380592,3745904.0,R,0.025800630748754782,-1.5,88.84375762939453,5305.899713481421
16,Semen Wello,12212.323905094949,1922219.0,R,0.0004557940438475554,-0.11448776721954346,8.84784984588623,26.61928374878493
17,Wag Himra,8933.821223823232,546043.0,R,-0.005388997614194235,-0.11581921577453613,5.508266925811768,-231.01554972527845
18,Asosa,14469.61658479301,497011.0,R,0.03739371589098516,-0.24467793107032776,40.68090057373047,2557.2814423526934
19,Kemashi,10105.591594439356,139680.0,R,0.051964579671526255,-0.20805181562900543,30.828189849853516,2487.752287194648
20,Metekel,25774.434146618263,443068.0,R,0.10313897817685173,-0.19311478734016418,77.48372650146484,12638.03155192235
21,Dire Dawa,1055.3340596254552,455212.0,U,0.19798876709894475,-0.041634656488895416,16.851613998413086,994.1015996038016
22,Agnuak,23639.345042230827,215877.0,R,0.011666213533725574,-0.2948993742465973,30.122718811035156,1294.4363888480548
23,Majang,2340.8997246256176,95771.0,R,0.010249899490200779,-0.23042140901088715,0.373836874961853,112.68739499526737
24,Nuer,4828.128945517277,179631.0,R,-0.02904376290662194,-0.16478869318962097,0.13436412811279297,-657.2893983397612
25,Hareri,371.59555711725625,246540.0,U,0.1989287088452514,-0.03191210702061653,10.032709121704102,349.91559885879724
26,Arsi,20963.133459631994,3610198.0,R,0.020491495002889038,-0.08379127085208893,67.88967895507812,2030.3997823612603
27,Bale,54656.79292874956,1949999.0,R,0.009465027143936672,-0.10442882776260376,3.991149425506592,2437.2160944822613
28,Borena,52414.38207731876,1337016.0,R,0.02590154640231183,-0.12631995975971222,8.795328140258789,6376.598102599541
29,Debub Mirab Shewa,6563.141206176017,1519750.0,R,0.045069469312932875,-0.11357352137565613,19.822803497314453,1400.0379947369468
30,Guji,18643.374141070846,1921919.0,R,0.031012232126884795,-0.0968342274427414,8.447482109069824,2720.3619899382074
31,Horo Guduru,8087.963255011183,788595.0,R,0.012021683137752997,-0.1034502163529396,21.479761123657227,461.19985189675594
32,Ilubabor,15571.103659097911,1760139.0,R,0.003741159079213946,-0.23092317581176758,63.90321731567383,274.8068401636604
33,Jimma,18348.177390560588,3606285.0,R,-0.001396772443351544,-0.20945093035697937,18.710844039916992,-120.98563549822404
