,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Addis Abeba,539.2042140257659,3522013.0,U,6.89389144327363,0.22603635489940643,59.970245361328125,17593.210963234305
1,Afar Zone 1,34200.57417870107,474892.0,R,-0.01455959197185602,-0.12028031796216965,15.764145851135254,-2378.5131828902868
2,Afar Zone 2,27669.715724069603,446374.0,R,-0.009202075305488827,-1.5,117.06704711914062,-1224.3729276965105
3,Afar Zone 3,16570.511269069917,260293.0,R,-0.010938306916836877,-0.08242704719305038,12.21157455444336,-861.1182120279832
4,Afar Zone 4,10736.391928260933,322652.0,R,-0.01918644346540432,-0.0983271524310112,0.6738168597221375,-986.6628552084171
5,Afar Zone 5,5400.122826781106,235930.0,R,-0.01638974642950359,-0.07437243312597275,0.3762340843677521,-421.20009349181277
6,Agew Awi,8958.44874922012,1259449.0,R,0.07074758729842388,-0.11458926647901535,13.781455039978027,3017.8798313888674
7,Argoba,309.39500291251983,44086.0,R,-0.023891045545322773,-0.0748429074883461,0.03972545638680458,-35.287074270441735
8,Bahir Dar Special Zone,8.66121758406646,294110.0,U,12.039448266937619,2.1797752380371094,21.722179412841797,505.65682721138
9,Debub Gondar,14142.260935042323,2577685.0,R,-0.03155591288392443,-0.13072644174098969,8.592021942138672,-2133.021931388872
10,Debub Wollo,17212.301494684994,3227272.0,R,-0.020310722380719994,-0.10299784690141678,13.133312225341797,-1666.7994321737863
11,Mirab Gojjam,16418.702397102516,2612501.0,R,0.024312577423863786,-0.12842023372650146,24.570728302001953,1903.8936254853493
12,Misraq Gojjam,14247.857863488745,2896193.0,R,0.013059679550213454,-0.10581593960523605,26.814592361450195,885.7205267750267
13,North Shewa,16172.34295368761,2363779.0,R,-0.011935742687687169,-0.08387551456689835,7.47794246673584,-917.2737612914466
14,Oromia,3779.3918714226957,588789.0,R,-0.011233252124176916,-0.07333464175462723,4.761800765991211,-202.14237197456362
15,Semen Gondar,42929.25213380592,3745904.0,R,0.025110561653016686,-1.5,40.80497360229492,5163.9870039428815
16,Semen Wello,12212.323905094949,1922219.0,R,-0.01957644498820294,-0.11833547800779343,23.968955993652344,-1143.3035402010282
17,Wag Himra,8933.821223823232,546043.0,R,-0.029990963317962496,-0.08497003465890884,6.193216800689697,-1285.6526155144163
18,Asosa,14469.61658479301,497011.0,R,0.19365231155190948,-0.09609367698431015,83.17595672607422,13243.494282411986
19,Kemashi,10105.591594439356,139680.0,R,0.27644867590952704,-0.07082565128803253,143.33563232421875,13234.703910492699
20,Metekel,25774.434146618263,443068.0,R,0.24235415868098148,-0.12316586822271347,318.45245361328125,29696.624479815386
21,Dire Dawa,1055.3340596254552,455212.0,U,0.25727399668347506,-0.05239805579185486,21.70719337463379,1291.7727373477283
22,Agnuak,23639.345042230827,215877.0,R,0.07285894881324087,-0.263876348733902,169.86485290527344,8084.137524521953
23,Majang,2340.8997246256176,95771.0,R,0.02779840971244163,-0.11918823421001434,5.3779168128967285,305.6157163785833
24,Nuer,4828.128945517277,179631.0,R,0.05138267603723294,-0.22336648404598236,49.48733901977539,1162.8413413986186
25,Hareri,371.59555711725625,246540.0,U,0.2688237604530644,-0.024870827794075012,13.447073936462402,472.8609946369403
26,Arsi,20963.133459631994,3610198.0,R,0.0010980091601374465,-0.0844327062368393,79.94527435302734,108.79623763221889
27,Bale,54656.79292874956,1949999.0,R,-0.008250903202170435,-0.09928268939256668,9.30341911315918,-2124.5828218492807
28,Borena,52414.38207731876,1337016.0,R,0.001150037980521492,-0.11179985851049423,32.65515899658203,283.123250272664
29,Debub Mirab Shewa,6563.141206176017,1519750.0,R,0.054268375818745336,-0.07708688825368881,29.328529357910156,1685.792826433505
30,Guji,18643.374141070846,1921919.0,R,0.013447394426408913,-0.09842083603143692,9.080496788024902,1179.5919916901635
31,Horo Guduru,8087.963255011183,788595.0,R,0.05048543871939466,-0.08701613545417786,51.07533264160156,1936.8233710308568
32,Ilubabor,15571.103659097911,1760139.0,R,0.010299400055785366,-0.1867230236530304,21.874156951904297,756.542431097714
33,Jimma,18348.177390560588,3606285.0,R,0.01811505969650314,-0.11671178787946701,28.861745834350586,1569.0902407917088
34,Kelem Wellega,9469.67389604784,1095038.0,R,0.1082931156438619,-0.11693555861711502,80.41055297851562,4834.204682341995
35,Mirab Arsi,12552.721044223994,2746777.0,R,0.014322377977595677,-0.08780408650636673,19.690155029296875,848.2858028570367
36,Mirab Hararghe,17460.605199013935,2623434.0,R,0.006123371071882347,-0.0774805098772049,50.878238677978516,505.9496581853508
37,Mirab Shewa,15271.343825663376,2965849.0,R,0.024711639950683456,-0.09129688143730164,18.555377960205078,1788.7026345503207
38,Mirab Welega,12888.044443476785,1878538.0,R,0.03355423757457691,-0.13955268263816833,38.22334289550781,2043.2181886287115
