,NAME_3,Area,Population,r_u,mean,min,max,sum
0,Matatiele,4369.947167768051,202486.0,R,0.09905215640621583,-0.02739986777305603,15.27720832824707,2329.8057708306023
1,Mbizana,2418.864857283554,293596.0,R,0.19760230858996553,-0.009273085743188858,13.355382919311523,2592.9374933175277
2,Ntabankulu,1389.242514492494,118124.0,R,0.13069872446911057,-0.006651659961789846,9.132179260253906,985.4683824970937
3,Umzimvubu,2586.5023546023936,189527.0,R,0.13349957092264705,-0.019764477387070656,12.859383583068848,1867.7924967787549
4,Amahlathi,4853.957606944839,115747.0,R,0.09177698438303429,-0.012382583692669868,13.489723205566406,2444.2046480889694
5,Great Kei,1744.9350670609165,35927.0,R,0.08339815767668046,-0.013159244321286678,7.609065055847168,802.290276849666
6,Mbhashe,3184.377812543415,251591.0,U,0.1426894005958691,-0.006101758219301701,32.447059631347656,2490.5007980002993
7,Mnquma,3285.5182156515402,236545.0,R,0.19147199518711766,-0.015758300200104713,30.4362850189209,3452.4315452189185
8,Ngqushwa,2254.7003399295318,67000.0,R,0.10644878717373099,-0.013232088647782803,11.283222198486328,1327.8421712051204
9,Nkonkobe,3656.677758780796,125203.0,R,0.1472644239713104,-0.01882808469235897,28.49551010131836,2960.7512439431957
10,Nxuba,2758.993926425016,23609.0,R,0.03536473495948735,-0.020458046346902847,5.629965305328369,534.3965099728134
11,Buffalo City,2547.50445357346,766368.0,U,1.594837645279133,0.0008931370684877038,55.08857727050781,22440.96050672268
12,Baviaans,11882.688101313785,18591.0,R,0.0346518871023239,-0.030177781358361244,50.13029861450195,2253.96664845776
13,Blue Crane Route,11207.808379693728,35942.0,R,0.03381345865823348,-0.03488403558731079,11.788907051086426,2075.0643309384723
14,Camdeboo,12636.512935996654,53241.0,R,0.04394715612881813,-0.04028693586587906,31.2978515625,3013.500442909188
15,Ikwezi,4631.7193678506965,10485.0,R,0.029444540340712096,-0.029414653778076172,9.915532112121582,747.096322064888
16,Kou-Kamma,3663.2994673251637,42562.0,U,0.14441754577957427,-0.02537671849131584,20.0178279876709,2918.2453475678576
17,Kouga,2712.234884227952,110247.0,R,0.2748218979583386,-0.00805547833442688,25.738969802856445,4128.0997292322045
18,Makana,4416.623819839364,81842.0,R,0.1284451516504917,-0.026200298219919205,33.15370559692383,3128.795449054327
19,Ndlambe,1855.2135164421754,62666.0,R,0.20342822976039715,-0.0057471743784844875,18.4783878326416,2094.2936253832886
20,Sundays River Valley,6067.026509378885,59950.0,U,0.11216444317714755,-0.023596612736582756,22.086246490478516,3757.3966819912657
21,Emalahleni,3473.170538485433,119472.0,U,0.0754660851667527,-0.024063682183623314,12.62364673614502,1423.7431627559563
22,Engcobo,2497.2047534848,156249.0,R,0.1152896462075523,-0.002001766115427017,11.212440490722656,1568.6309262999566
23,Inkwanca,3618.4649227712935,22440.0,U,0.033354931559402085,-0.03106723167002201,6.378485679626465,654.0234980167561
24,Intsika Yethu,2728.4071047668444,127433.0,R,0.12033370787974317,-0.009258576668798923,21.182125091552734,1792.611246284534
25,Inxuba Yethemba,11816.139410153008,67103.0,U,0.03983524724919509,-0.03474500775337219,16.58832550048828,2550.1728583989716
26,Lukanji,3843.790266631832,191172.0,R,0.2306890015638893,-0.016235770657658577,27.278676986694336,4841.931453824473
27,Sakhisizwe,2369.0988768349257,66966.0,R,0.11713976436970175,-0.015508290380239487,11.935282707214355,1507.7059072024313
28,Tsolwana,6151.441988976472,32796.0,R,0.024564025271695787,-0.031951431185007095,10.24479866027832,820.5121361504544
29,Elundini,5089.484046571426,136342.0,R,0.09515137891162828,-0.037488143891096115,16.69761848449707,2619.9932183316846
30,Gariep,9009.907241143375,34257.0,U,0.02673509426694947,-0.03274510055780411,30.49995231628418,1295.743078741973
31,Maletswai,4394.496728159126,46124.0,R,0.06137795547031026,-0.029110239818692207,23.414987564086914,1454.596166690883
32,Senqu,7378.681807029965,128980.0,R,0.03374407007483372,-0.04043786972761154,14.8253755569458,1343.2839415389806
33,Nelson Mandela Bay,1980.6478004472733,1201232.0,U,4.750991213553274,0.03547745198011398,369.8833312988281,52151.63055117428
34,King Sabata Dalindyebo,3041.3847159840952,458867.0,R,0.41316583338428936,0.0042694341391325,55.62198257446289,6858.966000012588
35,Mhlontlo,2837.419161962058,182602.0,R,0.15177114082063117,-0.010916764847934246,19.94635009765625,2338.945051186747
36,Ngquza Hill,2467.372434753863,284217.0,R,0.23611739405626306,-0.01142918597906828,23.372907638549805,3164.681432536094
37,Nyandeni,2486.008707455004,291043.0,R,0.19528294967272047,-0.004037590231746435,10.936124801635742,2647.841514612417
38,Port St Johns,1293.3873553680496,157146.0,R,0.16547691315963076,-0.011175652034580708,13.152637481689453,1166.7777146885564
39,Mafube,3989.947902355544,57298.0,R,0.13520553143203282,-0.0205595251172781,26.984638214111328,2819.035330357884
40,Metsimaholo,1727.428044750373,163086.0,U,1.7043434702064908,0.004744937177747488,349.0346984863281,15318.63911021594
41,Moqhaka,7989.490972301389,155632.0,U,0.2685502327905094,-0.02047186717391014,61.92696762084961,11204.452812485632
42,Ngwathe,7102.702293805057,119886.0,U,0.18920528119393779,-0.02558104693889618,32.32337188720703,7007.40679429868
43,Masilonyana,6862.240521698059,62149.0,U,0.08843465989085283,-0.016412019729614258,28.166248321533203,3193.7293072982593
44,Matjhabeng,5201.774074275019,400832.0,U,0.6460276877000111,-0.011232010088860989,55.25914764404297,17596.5021575729
45,Nala,4171.769627296473,74406.0,U,0.2101213945093107,-0.0038546251598745584,25.149940490722656,4565.937902687321
46,Tokologo,9456.053293465271,27435.0,U,0.04390943159621028,-0.026830466464161873,11.13511848449707,2173.4290451492166
47,Tswelopele,6602.49318665967,44852.0,R,0.09023343045561197,-0.025901002809405327,26.41226577758789,3112.9631172881573
48,Mangaung,6349.482589827131,782869.0,U,1.2672160802204857,-0.00527473958209157,95.96565246582031,42526.50443611928
49,Dihlabeng,4905.7524371243735,130187.0,U,0.22092837389428735,-0.023035729303956032,30.15194320678711,5715.196104271319
50,Maluti a Phofung,4354.035160370791,322321.0,U,0.3710180032762903,-0.03168061003088951,28.770048141479492,8529.703895321914
51,Mantsopa,4324.307268240468,50570.0,U,0.0990414531125648,-0.01663614995777607,15.246736526489258,2269.931063886873
52,Nketoana,5641.6996053896155,58953.0,U,0.10756031500555753,-0.02176695130765438,29.595592498779297,3185.183608259575
53,Phumelela,8211.678138178588,45955.0,U,0.0527950120811148,-0.03493413329124451,17.88228416442871,2276.362535901427
54,Setsoto,6008.1354718416305,106564.0,U,0.1481897666094015,-0.018963050097227097,26.051891326904297,4696.874652684981
55,Kopanong,15841.68679346646,46061.0,U,0.03720159768381977,-0.04247414320707321,26.997652053833008,3133.8625888849774
56,Letsemeng,9975.83910905165,36523.0,R,0.03851198573132775,-0.03950779512524605,18.3831729888916,2025.9615213822276
57,Mohokare,8856.073442174968,32994.0,U,0.052611227377776806,-0.03205285221338272,32.88733673095703,2491.7203398388874
58,Naledi,3454.7459142129837,23460.0,U,0.10883735668609552,-0.022434741258621216,31.27779769897461,2000.1041038203775
