,NAME_3,Area,Population,r_u,mean,min,max,sum
0,Matatiele,4369.947167768051,202486.0,R,0.17043224446963162,0.00787468533962965,14.544278144836426,4008.7368221702054
1,Mbizana,2418.864857283554,293596.0,R,0.32881373656347834,0.022924570366740227,25.593795776367188,4314.693851185963
2,Ntabankulu,1389.242514492494,118124.0,R,0.29006221349146066,0.03275231271982193,88.52513122558594,2187.0690897256136
3,Umzimvubu,2586.5023546023936,189527.0,R,0.18761163788527643,0.006223966833204031,12.862330436706543,2624.8744256529026
4,Amahlathi,4853.957606944839,115747.0,R,0.13519469753467833,0.008091229014098644,15.291895866394043,3600.5051847435534
5,Great Kei,1744.9350670609165,35927.0,R,0.11232766657138317,0.022542132064700127,6.90632963180542,1080.592152416706
6,Mbhashe,3184.377812543415,251591.0,U,0.15101133949699916,0.01979706808924675,34.025360107421875,2635.7519195806235
7,Mnquma,3285.5182156515402,236545.0,R,0.22916045190842793,0.012349213473498821,30.23870849609375,4131.992108360864
8,Ngqushwa,2254.7003399295318,67000.0,R,0.12799383735119058,0.028163719922304153,7.137031078338623,1596.5951271187514
9,Nkonkobe,3656.677758780796,125203.0,R,0.16646978549559194,0.01615297421813011,25.709510803222656,3346.875037388876
10,Nxuba,2758.993926425016,23609.0,R,0.06762580049337785,0.003563601989299059,6.026398181915283,1021.8934712554328
11,Buffalo City,2547.50445357346,766368.0,U,1.7369229035674,0.039474450051784515,58.332157135009766,24440.242176096886
12,Baviaans,11882.688101313785,18591.0,R,0.051669557805124014,-0.0033890665508806705,53.47620391845703,3360.898056992097
13,Blue Crane Route,11207.808379693728,35942.0,R,0.06823167737647429,0.002318158745765686,13.617358207702637,4187.241577239474
14,Camdeboo,12636.512935996654,53241.0,R,0.07317328236321007,-0.0029535579960793257,32.7812614440918,5017.5651449276775
15,Ikwezi,4631.7193678506965,10485.0,R,0.0691118133233519,0.002468840451911092,14.823752403259277,1753.5740394534077
16,Kou-Kamma,3663.2994673251637,42562.0,U,0.11442397133549409,0.010136356577277184,10.592843055725098,2312.165188776329
17,Kouga,2712.234884227952,110247.0,R,0.3020356378756936,0.02588602341711521,28.33019256591797,4536.877316530794
18,Makana,4416.623819839364,81842.0,R,0.1570515239266328,0.012436924502253532,30.978586196899414,3825.6180713288486
19,Ndlambe,1855.2135164421754,62666.0,R,0.22718749104330932,0.033804751932621,15.715353965759277,2338.8952202908695
20,Sundays River Valley,6067.026509378885,59950.0,U,0.1348624745403709,0.02237643301486969,15.435229301452637,4517.758034627885
21,Emalahleni,3473.170538485433,119472.0,U,0.11392680015650919,0.013772365637123585,10.81108283996582,2149.3430117527023
22,Engcobo,2497.2047534848,156249.0,R,0.15951776185542385,0.02192823216319084,15.222320556640625,2170.398667804897
23,Inkwanca,3618.4649227712935,22440.0,U,0.07170615132424261,0.004830099642276764,7.524191856384277,1406.0142151657492
24,Intsika Yethu,2728.4071047668444,127433.0,R,0.15123821499454196,0.02043018490076065,26.927898406982422,2252.9956887736917
25,Inxuba Yethemba,11816.139410153008,67103.0,U,0.06645874752542168,-0.007755361031740904,17.57392692565918,4254.556099082445
26,Lukanji,3843.790266631832,191172.0,R,0.2369057009737351,0.015154529362916946,27.40589141845703,4972.413757737726
27,Sakhisizwe,2369.0988768349257,66966.0,R,0.14273309339468537,0.019561022520065308,11.039607048034668,1837.1176450829953
28,Tsolwana,6151.441988976472,32796.0,R,0.05283159082044192,-0.00289829820394516,6.46040678024292,1764.7336281752214
29,Elundini,5089.484046571426,136342.0,R,0.19974303807317806,0.011975538916885853,47.18954086303711,5499.9245533449575
30,Gariep,9009.907241143375,34257.0,U,0.04981586455839124,-0.0032637256663292646,11.402620315551758,2414.3756916869897
31,Maletswai,4394.496728159126,46124.0,R,0.10805093995294876,0.006131812464445829,23.871734619140625,2560.6992259449326
32,Senqu,7378.681807029965,128980.0,R,0.0731647702702892,0.005258230492472649,13.987921714782715,2912.5431749196723
33,Nelson Mandela Bay,1980.6478004472733,1201232.0,U,4.790551457589057,0.07339391112327576,403.62109375,52585.88334995508
34,King Sabata Dalindyebo,3041.3847159840952,458867.0,R,0.4321853137194112,0.02745980955660343,61.35743713378906,7174.708393055946
35,Mhlontlo,2837.419161962058,182602.0,R,0.2005595535986997,0.018979394808411598,32.86357116699219,3090.8232805095613
36,Ngquza Hill,2467.372434753863,284217.0,R,0.3703113817183549,0.02810603193938732,40.31755447387695,4963.283449171111
37,Nyandeni,2486.008707455004,291043.0,R,0.21906428969077735,0.023402472957968712,7.292635917663574,2970.29270391725
38,Port St Johns,1293.3873553680496,157146.0,R,0.22813671333190946,0.028680963441729546,10.310785293579102,1608.5919657032937
39,Mafube,3989.947902355544,57298.0,R,0.16392318707294495,0.013309231027960777,27.807212829589844,3417.798450470902
40,Metsimaholo,1727.428044750373,163086.0,U,1.6841786286052156,0.04079938679933548,419.8537292480469,15137.397513903677
41,Moqhaka,7989.490972301389,155632.0,U,0.280196953060827,0.013295061886310577,62.40913391113281,11690.377275603823
42,Ngwathe,7102.702293805057,119886.0,U,0.18906175518991916,0.01182223204523325,32.18942642211914,7002.091165213846
43,Masilonyana,6862.240521698059,62149.0,U,0.11268507799796369,0.004755917005240917,29.203998565673828,4069.5089068184607
44,Matjhabeng,5201.774074275019,400832.0,U,0.6286660630339503,0.01662261225283146,63.66571044921875,17123.606224918738
45,Nala,4171.769627296473,74406.0,U,0.22602439523857554,0.01574438065290451,24.24436378479004,4911.510108534247
46,Tokologo,9456.053293465271,27435.0,U,0.06686351325817129,-0.0005549071356654167,10.943652153015137,3309.6101792529626
47,Tswelopele,6602.49318665967,44852.0,R,0.11467358492285769,-0.004332865122705698,25.019317626953125,3956.124006253667
48,Mangaung,6349.482589827131,782869.0,U,1.2139823817526691,0.021182598546147346,92.32208251953125,40740.03474923782
49,Dihlabeng,4905.7524371243735,130187.0,U,0.23906969604365702,0.004961883183568716,32.184051513671875,6184.493966953363
50,Maluti a Phofung,4354.035160370791,322321.0,U,0.3665622956612382,-0.0031016243156045675,27.340167999267578,8427.267177251866
51,Mantsopa,4324.307268240468,50570.0,U,0.14240797476241515,0.010355141945183277,17.64640235900879,3263.8483735797927
52,Nketoana,5641.6996053896155,58953.0,U,0.13152087582022728,0.010974987410008907,26.925039291381836,3894.727695664391
53,Phumelela,8211.678138178588,45955.0,U,0.09053972198946345,-0.005693288519978523,18.90679168701172,3903.8011930196953
