,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Klay,1845.673438561561,161267.0,R,0.1268412265257771,0.024967135861516,1.2623226642608643,1102.123417282477
1,Mecca,262.8824498776919,6375.0,R,0.10165073559469273,0.048899441957473755,0.1812347024679184,126.04691213741899
2,Fuamah,1055.8236495736896,43715.0,R,0.12729522658593925,0.04658970609307289,2.059023380279541,633.8029331713915
3,Jorquelleh,1297.6404541166603,94620.0,R,0.15416716439597705,0.04752726852893829,0.779109001159668,943.1947117745876
4,Kokoyah,922.2977438445123,28463.0,R,0.15231895129450498,0.06260015815496445,0.8253049850463867,661.9781623259187
5,Panta-Kpa,985.1646439055644,47438.0,U,0.1567312216193926,0.027234910055994987,4.633922576904297,728.8001805301756
6,Salala,836.9186758567143,46116.0,R,0.1312017594949089,0.04547438025474548,0.21568305790424347,519.0341605618596
7,Sanayea,1040.6899754695983,31874.0,R,0.13916163701951018,0.04952126368880272,0.2093593031167984,683.283637765795
8,Suakoko,1510.0626637987755,71893.0,U,0.15189169632065835,0.05361957848072052,2.20292067527771,1080.1018525362015
9,Zota,730.6735832251353,22568.0,R,0.1457262221151504,0.045871298760175705,0.4304610788822174,502.75546629726887
10,Belleh,2615.1598060580595,20492.0,R,0.14354358096481828,0.0442231111228466,0.6395813226699829,1772.476137753576
11,Bokomu,1114.8272356794294,21104.0,R,0.1301926845719725,0.06855987012386322,0.2022651880979538,684.4229427948594
12,Bopolu,2264.3275413035108,26209.0,R,0.12111012458351082,0.001091918908059597,0.7023233771324158,1293.8194609256461
13,Gbarma,1033.7943686745177,12311.0,R,0.12249616872873863,0.06404799222946167,0.20031601190567017,598.3937842398882
14,Kongba,2214.563451260615,16318.0,R,0.13268360639745702,0.0371888130903244,0.22427134215831757,1388.7993081621826
15,Commnwealth,106.23156041732629,2833.0,R,0.10906698116660118,0.03171069920063019,0.18412673473358154,54.53349058330059
16,Garwula,1259.1431195555126,51168.0,R,0.10910053459457143,-0.01758112572133541,0.6379358768463135,646.7479690766195
17,Golakonneh,1731.6952798395494,39247.0,R,0.13652968365655246,0.049248579889535904,6.104185104370117,1114.6283373720944
18,Porkpa,1517.022762294387,52390.0,R,0.12286739620172202,0.057775214314460754,0.20618173480033875,877.8875458613038
19,Tewor,333.54910006092837,19255.0,R,0.11543005065816214,0.05469205230474472,0.18029145896434784,180.5325992293656
20,District # 1,920.8048772632735,10847.0,R,0.14449579411815341,0.07858937233686447,0.5364822149276733,625.0888053551316
21,District # 2,1658.921712670368,25159.0,R,0.13502605054803962,0.056834399700164795,0.22878193855285645,1055.3636110834777
22,District # 3,2532.169279472194,136995.0,U,0.16498549783776234,0.060738593339920044,10.44747257232666,1967.1220907196403
23,District # 4,1309.3034898758335,38383.0,R,0.14385769700349701,0.06705520302057266,0.2611629366874695,887.1704174205661
24,Owensgrove,380.47642257058646,16772.0,R,0.15670182277088515,0.0750461295247078,0.77170330286026,280.9663682281971
25,Stjohnriver,674.5266828326193,23687.0,R,0.14971058592013078,0.0781531035900116,0.35932427644729614,476.6785055696964
26,Gbarzon,4045.263923020822,49525.0,R,0.1323615567857084,0.05433259904384613,0.6749330759048462,2520.4287643134594
27,Konobo,4187.690208822311,70183.0,R,0.13002688033864057,0.04846973344683647,0.6625908613204956,2562.1796770729125
28,Tchien,2014.3267229190226,48911.0,U,0.14999024799671937,0.06584546715021133,1.6002197265625,1422.6575022488832
29,Buah,676.0561055185183,10308.0,R,0.1296911256646563,0.07701698690652847,0.29695332050323486,412.67716186493635
30,Lower Kru Coast,696.9747508944076,19138.0,R,0.12216470083435073,0.06894367188215256,0.1787804663181305,400.08939523249865
31,Sasstown 180606,1240.6523589351386,10658.0,R,0.14235649723527646,0.07807522267103195,0.25036683678627014,829.3689528927207
32,Upperkrucoast,1073.9539047548253,25658.0,R,0.12960095140085262,0.07178288698196411,0.46239516139030457,654.225602671504
33,Foya,572.896043636399,88589.0,R,0.11977515950672381,0.03805353865027428,0.22724145650863647,324.23135678470135
34,Kolahun,2748.8578058530243,75403.0,R,0.13257001934436372,0.01576978527009487,0.978830099105835,1721.6868412252516
35,Lower Kru Coast,424.8543449176323,20194.0,R,0.11887921116636119,0.021681426092982292,0.18455353379249573,238.11505996622145
36,Salayea,1519.2592122020153,34065.0,R,0.13503673961067264,0.04790066182613373,0.22939464449882507,970.3740108422935
37,Voinjama,2110.454001714792,72541.0,U,0.10132641228488255,-0.008246472105383873,2.1563754081726074,1011.3389210154128
